ORIGIN;DEST;DEPARTURE DATE;DEPARTURE TIME;BOOKING CLASS;FARE;DAYS TO DEPARTURE;# BOOKINGS (net)
BER;NRT;2014-04-16;1840;L;64;7;19
BER;NRT;2014-04-16;1840;L;64;5;23
BER;NRT;2014-04-16;1840;M;164;356;0
BER;NRT;2014-04-16;1840;M;164;289;0
BER;NRT;2014-04-16;1840;M;164;250;NA
BER;NRT;2014-04-16;1840;M;164;80;0
BER;NRT;2014-04-16;1840;M;164;61;1
BER;NRT;2014-04-16;1840;N;124;356;0
BER;NRT;2014-04-16;1840;N;124;289;0
BER;NRT;2014-04-16;1840;N;124;250;NA
BER;NRT;2014-04-16;1840;N;124;80;0
BER;NRT;2014-04-16;1840;N;124;1;0
BER;NRT;2014-04-16;1840;R;184;356;0
BER;NRT;2014-04-16;1840;R;184;289;0
BER;NRT;2014-04-16;1840;R;184;250;NA
BER;NRT;2014-04-16;1840;R;184;80;0
BER;NRT;2014-04-16;1840;T;74;356;0
BER;NRT;2014-04-16;1840;T;74;296;0
BER;NRT;2014-04-16;1840;T;74;289;0
BER;NRT;2014-04-16;1840;T;74;250;NA
BER;NRT;2014-04-16;1840;T;74;80;0
BER;NRT;2014-04-16;1840;T;74;34;0
BER;NRT;2014-04-16;1840;T;74;24;1
BER;NRT;2014-04-16;1840;T;74;4;1
BER;NRT;2014-04-16;1840;T;74;3;3
BER;NRT;2014-04-16;1840;T;74;2;3
BER;NRT;2014-04-16;1840;V;54;356;0
BER;NRT;2014-04-16;1840;V;54;296;0
BER;NRT;2014-04-16;1840;V;54;289;0
BER;NRT;2014-04-16;1840;V;54;250;NA
BER;NRT;2014-04-16;1840;V;54;80;0
BER;NRT;2014-04-16;1840;V;54;67;3
BER;NRT;2014-04-16;1840;V;54;44;3
BER;NRT;2014-04-16;1840;V;54;23;3
BER;NRT;2014-04-16;1840;V;54;17;10
BER;NRT;2014-04-16;1840;Z;114;356;0
BER;NRT;2014-04-16;1840;Z;114;299;0
BER;NRT;2014-04-16;1840;Z;114;289;0
